--------------------------------------
     INPUT SECTION
--------------------------------------
File selected:  seo_4_3.out
Number of states selected:  200
Selected states selected:  [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200]
 
------------------------
 RAS-CI RESULTS
------------------------
g-factor (x y z dimensions):
22.01 22.545 -0.1

------------------------
 EXCITED STATES ANALYSIS
------------------------
Configurations cut-off: 0.5
state config  sym  hole  part unpairedorb amplitude      e    socc     lk  s2
  148      1 36B2   0.3  99.7       22,35      0.97 33.543   28.68 -0.028 2.0
  149      1 36B1  0.29 99.71       20,35      0.97  33.93  27.332  0.031 2.0
  152      1 37B2   0.0 100.0       22,36      0.95 35.144 539.964  -0.27 2.0
  153      1 37B1   0.0 100.0       20,36      0.94 35.579 560.385  0.243 2.0
  156      1 39B2  0.01 99.99       22,39      0.77 39.172    3.11 -0.019 2.0
  156      2 39B2  0.01 99.99       20,40      0.57 39.172    3.11 -0.019 2.0
  157      1 39B1  0.01 99.99       22,40      0.77 39.175   2.489  0.017 2.0
  157      2 39B1  0.01 99.99       20,39      0.58 39.175   2.489  0.017 2.0
  160      1 40B2  0.15 99.85       20,40      0.52 39.713   6.133 -0.195 2.0
  160      2 40B2  0.15 99.85 20,21,22,38       0.5 39.713   6.133 -0.195 2.0
  160      3 40B2  0.15 99.85 20,21,22,38      0.48 39.713   6.133 -0.195 2.0
  160      4 40B2  0.15 99.85       22,39      0.34 39.713   6.133 -0.195 2.0
  160      5 40B2  0.15 99.85       21,37      0.31 39.713   6.133 -0.195 2.0
  161      1 40B1  0.19 99.81       20,39      0.53 39.759   7.481 -0.199 2.0
  161      2 40B1  0.19 99.81 20,21,22,37       0.5 39.759   7.481 -0.199 2.0
  161      3 40B1  0.19 99.81 20,21,22,37      0.45 39.759   7.481 -0.199 2.0
  161      4 40B1  0.19 99.81       22,40      0.37 39.759   7.481 -0.199 2.0
  161      5 40B1  0.19 99.81       21,38      0.31 39.759   7.481 -0.199 2.0
  162      1 41B2  0.23 99.77       20,40      0.51 40.186  31.416 -0.104 2.0
  162      2 41B2  0.23 99.77 20,21,22,38      0.45 40.186  31.416 -0.104 2.0
  162      3 41B2  0.23 99.77       21,37      0.41 40.186  31.416 -0.104 2.0
  162      4 41B2  0.23 99.77       22,39       0.4 40.186  31.416 -0.104 2.0
  162      5 41B2  0.23 99.77 20,21,22,38      0.38 40.186  31.416 -0.104 2.0
  163      1 41B1   0.2 99.79 20,21,22,37      0.53 40.224  28.232 -0.111 2.0
  163      2 41B1   0.2 99.79       20,39      0.48 40.224  28.232 -0.111 2.0
  163      3 41B1   0.2 99.79       22,40       0.4 40.224  28.232 -0.111 2.0
  163      4 41B1   0.2 99.79 20,21,22,37       0.4 40.224  28.232 -0.111 2.0
  163      5 41B1   0.2 99.79       21,38      0.34 40.224  28.232 -0.111 2.0
  165      1 36A1   0.0 100.0 20,21,22,40      0.59 40.573   3.681  0.001 2.0
  165      2 36A1   0.0 100.0       22,37      0.58 40.573   3.681  0.001 2.0
  165      3 36A1   0.0 100.0       20,38      0.39 40.573   3.681  0.001 2.0
  166      1 42B2  0.01 99.99 20,21,22,38      0.51 40.714   5.373   0.04 2.0
  166      2 42B2  0.01 99.99       21,37       0.5 40.714   5.373   0.04 2.0
  166      3 42B2  0.01 99.99 20,21,22,38      0.48 40.714   5.373   0.04 2.0
  166      4 42B2  0.01 99.99       21,37      0.44 40.714   5.373   0.04 2.0
  167      1 42B1   0.0 100.0 20,21,22,37      0.52 40.718   1.583 -0.037 2.0
  167      2 42B1   0.0 100.0       21,38      0.51 40.718   1.583 -0.037 2.0
  167      3 42B1   0.0 100.0       21,38      0.47 40.718   1.583 -0.037 2.0
  167      4 42B1   0.0 100.0 20,21,22,37      0.44 40.718   1.583 -0.037 2.0
  169      1 37A1   0.0 100.0 20,21,22,40      0.59 40.749   4.859 -0.001 2.0
  169      2 37A1   0.0 100.0       22,37      0.54 40.749   4.859 -0.001 2.0
  169      3 37A1   0.0 100.0 20,21,22,40      0.44 40.749   4.859 -0.001 2.0
  170      1 43B2  0.38 99.62       22,36      0.87 40.814  32.718  0.192 2.0
  171      1 44B2  0.34 99.66 20,21,22,38      0.67 40.967  19.554  0.276 2.0
  171      2 44B2  0.34 99.66 20,21,22,38      0.46 40.967  19.554  0.276 2.0
  171      3 44B2  0.34 99.66       22,36      0.35 40.967  19.554  0.276 2.0
  171      4 44B2  0.34 99.66       21,37      0.34 40.967  19.554  0.276 2.0
  172      1 43B1  0.54 99.46 20,21,22,37      0.72 40.981   2.281 -0.339 2.0
  174      1 44B1  0.19 99.81       20,36       0.9 41.253  36.246 -0.029 2.0
  180      1 45B2  0.24 99.76 20,21,22,38      0.63 41.917  38.543 -0.219 2.0
  180      2 45B2  0.24 99.76 20,21,22,38      0.48 41.917  38.543 -0.219 2.0
  180      3 45B2  0.24 99.76       21,37      0.44 41.917  38.543 -0.219 2.0
  183      1 45B1  0.28 99.71 20,21,22,37       0.6 42.046  33.879  0.207 2.0
